category,text
santé,Par arrêté du ministre de l'intérieur du 25 juin 2024. Madame Serine Hemmari médecin vétérinaire sanitaire principal est nommée au grade de médecin vétérinaire sanitaire major au corps commun des médecins vétérinaires sanitaires au ministère de l'intérieur à compter du 25 mars 2024
administration publique,"Par arrêté du ministre de l'intérieur du 2 juillet 2024. La classe exceptionnelle à l'emploi de directeur d'administration centrale est accordée à Madame Akila Oueslati, administrateur général de l'intérieur, chargé des fonctions de chef de la division régionale au gouvernorat de Béja."
administration publique,Par arrêté du ministre de l'intérieur du 27 juin 2024. Monsieur Mohamed Fethi Zoghlami est chargé des fonctions de délégué à la délégation de Bab Bhar gouvernorat de Tunis à compter du 16 février 2024.
administration publique,Par arrêté du ministre de l'intérieur du 27 juin 2024. Monsieur Mourad Mekni est chargé des fonctions de délégué à la délégation de Medjez El Bab gouvernorat de Béja à compter du 21 mai 2024.
administration publique,"Par arrêté du ministre de l'intérieur du 1er juillet 2024. Monsieur Mohsen Fareh, technicien en chef principal, est chargé des fonctions de sous-directeur des prestations communes, à la direction générale des affaires administratives et financières au ministère de l'intérieur. "
administration publique,"Par arrêté du ministre de l'intérieur du 27 juin 2024. Monsieur Aïssa Moussa, premier délégué au gouvernorat de Tataouine, est muté en ses mêmes fonctions au gouvernorat de Monastir à compter du 18 juin 2024."
administration publique,Par arrêté du ministre de l'intérieur du 27 juin 2024. Monsieur Kaies Trabelsi est chargé des fonctions de secrétaire général du gouvernorat de Béja à compter du 20 juin 2024.
administration publique,"Par arrêté du ministre chargé de diriger le ministère des affaires culturelles du 19 juillet 2024. Monsieur Imed Elhajji, administrateur général du corps administratif commun des administrations publiques, est nommé au grade d'administrateur général de la classe supérieure du corps administratif commun des administrations publiques au ministère des affaires culturelles à compter du 21 mars 2024."
administration publique,Par arrêté du ministre de l'intérieur du 27 juin 2024. Sont chargés des fonctions de secrétaire général de gouvernorat à compter du 18 juin 2024 Messieurs - Karim Baranji au gouvernorat de Tunis. - Zied Trabelsi au gouvernorat de Kairouan.
administration publique,Par arrêté du ministre de l'intérieur du 27 juin 2024. Monsieur Samir Sebaï est chargé des fonctions de secrétaire général du gouvernorat de l’Ariana à compter du 13 juin 2024.
administration publique,"Par arrêté du ministre de l'intérieur du 8 juillet 2024. Monsieur Sofiane Othmani, administrateur en chef de l'intérieur, est chargé des fonctions de chef de la division du conseil régional au gouvernorat de Kairouan, avec rang et prérogatives de sous-directeur d'administration centrale. "
administration publique,"Arrêté du Chef du Gouvernement du 4 juillet 2024, fixant les conditions et les procédures de recours à des experts ou à des bureaux d’assistance technique au cours du processus de préparation, de la conclusion et de l'exécution des marchés publics. Le Chef du Gouvernement, Vu la Constitution, Vu le Code de la comptabilité publique promulgué par la loi n° 73-81 du 31 décembre 1973, ensemble les textes qui l’ont modifié ou complété, notamment le décret-loi n° 2022-79 du 22 décembre 2022 relatif à la loi de finances de l’année 2023, Vu la loi n° 2018-46 du 1er août 2018, relative à la déclaration de patrimoine et d’intérêts, et à la lutte contre l’enrichissement illicite et les conflits d’intérêts, Vu le décret-loi n° 2022-68 du 19 octobre 2022, édictant des dispositions spéciales pour l’amélioration de l’efficacité de la réalisation des projets publics et privés et notamment l’article 8, Vu le décret n° 2014-1039 du 13 mars 2014, relatif à la réglementation des marchés publics, tel que modifié et complété par le décret gouvernemental n° 2018-416 du 11 mai 2018, Vu le décret gouvernemental n° 2017-967 du 31 juillet 2017, portant réglementation de la construction des bâtiments civils tel que complété par le décret gouvernemental n° 2021-475 du 25 juin 2021, Vu le décret n° 2023-550 du 1er août 2023, portant nomination du Chef de Gouvernement. Arrête  Article premier - L'acheteur public peut recourir à des experts ou à des bureaux d'assistance technique pendant tout ou partie du processus de préparation, de passation et d’exécution des marchés publics dans les cas suivants: - Les projets qui nécessitent des moyens techniques et des ressources humaines dont il ne dispose pas, - Les projets urgents qui nécessitent le renforcement de la structure publique intéressée par des ressources humaines et des expertises supplémentaires afin de les réaliser dans les délais impartis, - Les projets dont la réalisation est entravée en raison de difficultés techniques nécessitant le recours à des experts ou à des bureaux d’assistance technique afin de les surmonter. Art. 2 - Le recours à des experts ou à des bureaux d'assistance technique a lieu selon les procédures suivantes : - L’acheteur public présente une demande d’autorisation au ministre de tutelle sectorielle accompagnée d’un rapport détaillé contenant les motifs de sa démarche et appuyé par les données et justificatifs nécessaires en vue de contracter avec un expert ou un bureau d’assistance technique, - L’acheteur public élabore, après l’obtention de l’accord du ministre de tutelle sectorielle, les termes de référence ou le cahier des charges relatif au choix de l’expert ou du bureau d’assistance technique, - La sélection de l’expert ou du bureau d’assistance technique a lieu conformément aux procédures de mise à la concurrence prévues par la législation et la règlementation en vigueur, - L’acheteur public élabore, après achèvement des travaux de l’expert ou du bureau d’assistance technique, un rapport à cet effet mettant en exergue la contribution apportée au projet. Art. 3 - Le présent arrêté sera publié au Journal officiel de la République tunisienne. Tunis, le 4 juillet 2024. Le Chef du Gouvernement Ahmed Hachani"
administration publique,"Par arrêté du ministre de l'intérieur du 20 juin 2024. Monsieur Mourad Ben Aoun, administrateur en chef, est chargé des fonctions de secrétaire général de quatrième classe à la commune de Korba à compter du 2 octobre 2023."
administration publique,"Par arrêté du ministre de l'intérieur du 19 juin 2024. Monsieur Mehrez Bouali, administrateur en chef, est chargé des fonctions de secrétaire général de quatrième classe à la commune de Beni Khiar à compter du 2 octobre 2023."
administration publique,"Par arrêté du ministre de l'intérieur du 20 juin 2024. Monsieur Rafiaa Ben Hassine, administrateur en chef, est chargé des fonctions de secrétaire général de quatrième classe à la commune d'Ezzouhour."
administration publique,"Par arrêté du ministre de l'intérieur du 20 juin 2024. Monsieur Kais Oueslati, administrateur conseiller, est chargé des fonctions de secrétaire général de troisième classe à la commune d'El Aroussa."
administration publique,"Par arrêté du ministre de l'intérieur du 20 juin 2024. Monsieur Khalifa Nouili, administrateur conseiller de l'intérieur, est chargé des fonctions de secrétaire général de troisième classe à la commune de Smar."
administration publique,"Par arrêté du ministre de l'intérieur du 20 juin 2024. Monsieur Abdelmajid Guideri, administrateur en chef de l'intérieur, est chargé des fonctions de secrétaire général de troisième classe à la commune de Saouaf."
administration publique,"Par arrêté du ministre de l'intérieur du 20 juin 2024. Monsieur Dhaoui Hamdi, administrateur en chef, est chargé des fonctions de secrétaire général de quatrième classe à la commune de Thyna à compter du 7 septembre 2023."
administration publique,"Par arrêté du ministre de l'intérieur du 20 juin 2024. Monsieur Saber Bouaziz, administrateur en chef, est chargé des fonctions de secrétaire général de quatrième classe à la commune de Sayada à compter du 1er novembre 2022."
administration publique,"Par arrêté du ministre de l'intérieur du 20 juin 2024. Monsieur Hachemi Eddous, administrateur en chef, est chargé des fonctions de secrétaire général de troisième classe à la commune de Menzel Ennour à compter du 4 septembre 2023."
administration publique,"Par arrêté du ministre de l'intérieur du 20 juin 2024. Madame Amira Ben Hassine, manager conseiller en sport, est chargée des fonctions de secrétaire général de troisième classe à la commune d'Utique."
administration publique,"Par arrêté du ministre de l'intérieur du 19 juin 2024. Monsieur Badreddine Sahbani, administrateur en chef de l'intérieur, est chargé des fonctions de secrétaire général de quatrième classe à la commune de Ain Drahem."
administration publique,"Par arrêté du ministre de l'intérieur du 19 juin 2024. Monsieur Zahi Achaichia, surveillant général principal, est chargé des fonctions de secrétaire général de quatrième classe à la commune de Golaa - Maaden - Forgusane."
administration publique,"Par arrêté du ministre de l'intérieur du 20 juin 2024. Monsieur Salah Guesmi, administrateur général, est chargé des fonctions de secrétaire général de quatrième classe à la commune de Beni Khalled à compter du 2 octobre 2023."
administration publique,"Par arrêté du ministre de l'intérieur du 20 juin 2024. Madame Saoussen Zaineb, administrateur en chef, est chargée des fonctions de secrétaire général de quatrième classe à la commune de Sidi Bennour."
administration publique,"Par arrêté du ministre de l'intérieur du 20 juin 2024. Monsieur Sami Hamdi, administrateur en chef, est chargé des fonctions de secrétaire général de quatrième classe à la commune de Hammam Sousse à compter du 8 septembre 2023."
administration publique,"Par arrêté du ministre de l'intérieur du 20 juin 2024. Monsieur Abdessalem Triki, administrateur général, est chargé des fonctions de secrétaire général de quatrième classe à la commune de Chihia à compter du 17 janvier 2024."
administration publique,"Par arrêté du ministre de l'intérieur du 19 juin 2024. Monsieur Saied Boufaied, administrateur général, est chargé des fonctions de secrétaire général de quatrième classe à la commune de Bannen Bodheur à compter du 4 septembre 2023."
administration publique,"Par arrêté du ministre de l'intérieur du 19 juin 2024. Madame Amel Mejri, administrateur en chef, est chargée des fonctions de secrétaire général de quatrième classe à la commune de Téboursouk."
administration publique,"Par arrêté du ministre de l'emploi et de la formation professionnelle du 1er juillet 2024. Les techniciens principaux dont les noms suivent, sont nommés dans le grade de technicien en chef au corps technique commun des administrations publiques au ministère de l'emploi et de la formation professionnelle: - Ahmed Saida, - Fatima Khlifi, - Abderhamen Oumari. Pour la légalisation de la signature  le président de la municipalité ISSN.0330.7921 Certifié conforme  le président directeur général de l'I.O.R.T"
administration publique,"Par arrêté du ministre de l'intérieur du 8 juillet 2024. Monsieur Bechir Daghsni, administrateur conseiller de l'intérieur, est chargé des fonctions de chef de la subdivision de tutelle des communes et de la coopération intercommunale à la division des affaires communales au gouvernorat de Gabès, avec rang et prérogatives de chef de service d'administration centrale."
administration publique,"Par arrêté du ministre de l'intérieur du 19 juin 2024. Monsieur Ramzi Hlal, administrateur en chef, est chargé des fonctions de secrétaire général de quatrième classe à la commune de Lamta."
administration publique,"Par arrêté du ministre de l'intérieur du 8 juillet 2024. Monsieur Mokhtar Elaiech, administrateur en chef, est chargé des fonctions de secrétaire général de quatrième classe à la commune de Ouled Chamekh. "
administration publique,"Arrêté du chargé de diriger le ministère des affaires culturelles du 4 juillet 2024, portant ouverture d'un concours interne sur dossiers pour la promotion au grade d’administrateur général des services culturels. Le chargé de diriger le ministère des affaires culturelles, Vu la Constitution, Vu la loi n° 83-112 du 12 décembre 1983, portant statut général des personnels de l'Etat, des collectivités locales et des établissements publics à caractère administratif, ensemble les textes qui l'ont modifiée ou complétée, Vu le décret gouvernemental n° 2019-431 du 10 mai 2019, fixant le statut particulier du corps des agents du ministère des affaires culturelles, Vu le décret n° 2023-550 du 1er août 2023, portant nomination du Chef du Gouvernement, Vu le décret n° 2024-147 du 12 mars 2024, chargeant le ministre de l’enseignement supérieur et de la recherche scientifique à titre temporaire de diriger le ministère des affaires culturelles, Vu l’arrêté du ministre des affaires culturelles du 14 novembre 2019, fixant les modalités d'organisation du concours interne sur dossiers pour la promotion au grade d’administrateur général des services culturels. Arrête : Article premier - Est ouvert au ministère des affaires culturelles, le 26 août 2024 et jours suivants, un concours interne sur dossiers pour la promotion au grade d’administrateur général des services culturels. Art. 2 - Le nombre de postes à pourvoir est fixé à quatre (4) postes. Art. 3 - La date de clôture de la liste des candidatures est fixée au 26 juillet 2024. Art. 4 - Le présent arrêté sera publié au Journal officiel de la République tunisienne. Tunis, le 4 juillet 2024. Le chargé de diriger le ministère des affaires culturelles Moncef Boukthir Vu Le Chef du Gouvernement Ahmed Hachani"
administration publique,"Par arrêté du ministre de l'intérieur du 20 juin 2024. Monsieur Abdellatif Drissi, administrateur en chef de l'intérieur, est chargé des fonctions de secrétaire général de quatrième classe à la commune de Oued Mliz."
administration publique,"Par arrêté du ministre de l'intérieur du 20 juin 2024. Monsieur Ahmed Elaieb, analyste en chef, est chargé des fonctions de secrétaire général de quatrième classe à la commune de Tataouine à compter du 30 octobre 2023."
administration publique,"Par arrêté du ministre de l'intérieur du 25 juin 2024. Monsieur Ali Slimen, administrateur général, est déchargé des fonctions de directeur des affaires administratives et régionales à la direction générale des affaires régionales au ministère de l'intérieur à compter du 4 juin 2024. "
administration publique,"Par arrêté de la ministre de la famille, de la femme, de l'enfance et des personnes âgées Madame Raouia Sehli, administrateur conseiller, est chargée des fonctions de chef de service des affaires de la femme et de la famille à la sous- direction des services spécifiques au commissariat régional des affaires de la femme et de la famille à Nabeul au ministère de la famille, de la femme, de l'enfance et des personnes âgées. Par arrêté de la ministre de la famille, de la femme, de l'enfance et des personnes âgées Madame Wided Souid, gestionnaire en chef de documents et d'archives, est chargée des fonctions de chef de service des personnes âgées à la sous-direction des services spécifiques au commissariat régional des affaires de la femme et de la famille à Nabeul au ministère de la famille, de la femme, de l'enfance et des personnes âgées"
administration publique,"Par décret n° 2024-410 du 4 juillet 2024. Il est mis fin aux fonctions de Monsieur Habib Khélifi, inspecteur central des services financiers, chargé de mission au cabinet du ministre de l'intérieur à compter du 18 juin 2024."
administration publique,"Arrêté du ministre des affaires sociales 19 juillet 2024, portant délégation de signature. Le ministre des affaires sociales, Vu la Constitution, Vu la loi n° 83-112 du 12 décembre 1983 portant statut général des personnels de l'Etat, des collectivités locales et des établissements publics à caractère administratif, ensemble les textes qui l’ont modifiée ou complétée et notamment le décret-loi n° 2022-79 du 22 décembre 2022 portant loi de finances pour l'année 2023, Vu le décret n° 75-384 du 17 juin 1975, autorisant les ministres et secrétaires d’Etat à déléguer leur signature, Vu le décret n° 2005-2978 du 8 novembre 2005, fixant les attributions du ministère des affaires sociales, de la solidarité et des Tunisiens à l’étranger, tel que modifié par le décret n° 2012-634 du 8 juin 2012, Vu le décret gouvernemental n° 2016-304 du 11 mars 2016, portant délégation de quelques prerogatives du chef de gouvernement au minister des affaires sociales, Vu le décret n 2012-2750 du 13 novembre 2012 portant création d’une unité de gestion par objectifs au ministère des affaires sociales pour la réalisation du projet de réforme de la gestion du budget de l'Etat et fixant son organisation et les modalités de son fonctionnement, tel que modifié par le décret gouvernemental n° 2018-400 du 23 avril 2018, Vu le décret gouvernemental n° 2019-340 du 21 mars 2019, portant organisation du ministère des affaires sociales, Vu le décret gouvernemental n° 2019-1067 du 14 novembre 2019, fixant les attributions du responsable de programme dans le cadre de la loi organique du budget, tel que modifié par le décret gouvernemental n° 2020-419 du 9 juillet 2020, et notamment son article 4, Vu le décret Présidentiel n° 2021-138 du 11 octobre 2021, portant nomination des membres du Gouvernement, Vu le décret n° 2023-550 du 1er août 2023, portant nomination du Chef du Gouvernement, Vu le décret n° 2024-338 du 25 mai 2024, portant nomination d’un membre du Gouvernement, Vu l’arrêté du ministre des affaires sociales du 26 janvier 2024, portant nomination de Monsieur Nizar Mohsni, administrateur général et chef de l'unité de gestion du budget par objectifs, au titre de chef du programme piltoge et appui à la mission affaires sociales et ce à compter du 3 janvier 2024. Arrête Article premier - Conformément aux dispositions de l’article 4 du décret gouvernemental n° 2019-1067 du 14 novembre 2019 susvisé, Monsieur Nizar Mohsni, administrateur général, chef du programme pilotage et appui à la mission affaires sociales, est habilité à signer par délégation du ministre des affaires sociales tous les actes relevant de ses attributions à l’exclusion des actes à caractère réglementaire. Art. 2 - Le présent arrêté sera publié au Journal officiel de la République tunisienne et prend effet à compter du 25 mai 2024. Tunis, le 19 juillet 2024. Le ministre des affaires sociales Kamel Maddouri "
administration publique,"APar arrêté du ministre de l'emploi et de la formation professionnelle du 1er juillet 2024. Les ingénieurs principaux dont les noms suivent, sont nommés dans le grade d'ingénieur en chef au corps commun des ingénieurs des administrations publiques au ministère de l'emploi et de la formation professionnelle - Maha Bennejma, - Aymen Bouallagui, - Abdennaceur Ayeb, - Mohamed Amine Jbili."
administration publique,"Par arrêté du Chef du Gouvernement du 9 juillet 2024. Monsieur Mohsen Sammari est nommé membre représentant la Présidence du Gouvernement, au conseil d'établissement du centre d'information, de formation, d'études et de documentation sur les associations et ce en remplacement de Madame Jihène Guesmi."
administration publique,"Par arrêté de la ministre de la famille, de la femme, de l'enfance et des personnes âgées Monsieur Naoufel Baraket, professeur émérite de la jeunesse et de l'enfance, est chargé des fonctions de sous-directeur des services communs au commissariat régional des affaires de la femme et de la famille à Nabeul au ministère de la famille, de la femme, de l'enfance et des personnes âgées."
administration publique,"Administration Publique:Arrêté du ministre des affaires sociales 19 juillet 2024, portant délégation de signature. Le ministre des affaires sociales, Vu la Constitution, Vu la loi n° 83-112 du 12 décembre 1983 portant statut général des personnels de l'Etat, des collectivités locales et des établissements publics à caractère administratif ensemble les textes qui l’ont modifiée ou complétée et notamment le décret-loi n° 2022-79 du 22 décembre 2022 portant loi de finances pour l'année 2023, Vu le décret n° 75-384 du 17 juin 1975, autorisant les ministres et secrétaires d’Etat à déléguer leur signature, Vu le décret n° 2005-2978 du 8 novembre 2005, fixant les attributions du ministère des affaires sociales, de la solidarité et des Tunisiens à l’étranger, tel que modifié par le décret n° 2012-634 du 8 juin 2012, Vu le décret gouvernemental n° 2016-304 du 11 mars 2016, portant délégation de quelques prérogatives du chef de gouvernement au ministre des affaires sociales, Vu le décret n° 2012-2750 du 13 novembre 2012 portant création d’une unité de gestion par objectifs au ministère des affaires sociales pour la réalisation du projet de réforme de la gestion du budget de l'Etat et fixant son organisation et les modalités de son fonctionnement, tel que modifié par le décret gouvernemental n° 2018-400 du 23 avril 2018, Vu le décret gouvernemental n° 2019-340 du 21 mars 2019, portant organisation du ministère des affaires sociales, Vu le décret gouvernemental n° 2019-1067 du 14 novembre 2019, fixant les attributions du responsable de programme dans le cadre de la loi organique du budget, tel que modifié par le décret gouvernemental n° 2020-419 du 9 juillet 2020, et notamment son article 4, Vu le décret Présidentiel n° 2021-138 du 11 octobre 2021, portant nomination des membres du gouvernement, Vu le décret n° 2023-550 du 1er août 2023, portant nomination du Chef du Gouvernement, Vu le décret n° 2024-338 du 25 mai 2024, portant nomination d’un membre du Gouvernement, Vu l’arrêté du ministre des affaires sociales du 13 juin 2022, portant nomination de Monsieur Nader Ajebi, inspecteur en chef du travail et directeur général de la sécurité sociale, au titre de chef du programme sécurité sociale à la mission affaires sociales et ce à compter du 8 avril 2022. Arrête Article premier - Conformément aux dispositions de l’article 4 du décret gouvernemental n° 2019-1067 du 14 novembre 2019 susvisé, Monsieur Nader Ajebi, inspecteur en chef du travail, responsable du programme sécurité sociale à la mission affaires sociales est habilité à signer par délégation du ministre des affaires sociales tous les actes relevant de ses attributions à l’exclusion des actes à caractère réglementaire. Art. 2 - Le présent arrêté sera publié au Journal officiel de la République tunisienne et prend effet à compter du 25 mai 2024. Tunis, le 19 juillet 2024. Le ministre des affaires sociales Kamel Maddouri"
justice,"Par décret n° 2024-407 du 4 juillet 2024. Il est mis fin à la mise en disponibilité de Monsieur Mohamed El Khames Tlili, magistrat de troisième grade, à compter du 16 septembre 2023."
justice,"Par arrêté de la ministre de la justice du 17 avril 2024. La démission de Monsieur Abdessattar Ben Khemais Ben Hassine, huissier de justice à Tunis circonscription de la Cour d'appel dudit lieu, est acceptée sur sa demande à compter de la date de la publication du présent arrêté."
justice,"Par décret n° 2024-423 du 10 juillet 2024. Il est mis fin à la mise en disponibilité de Monsieur Hosni Ghedira, magistrat de troisième grade, à compter du 1er août 2024."
justice,"Par décret n° 2024-408 du 4 juillet 2024. Il est mis fin à la mise en disponibilité de Monsieur Ali Kahloun, magistrat de troisième grade, à compter du 1er août 2024."
justice,"Par décret n° 2024-406 du 4 juillet 2024. Madame Rim Feteh, magistrat de troisième grade, est mise en disponibilité pour une période d'un an, à compter du 1er juillet 2024."
justice,"Par décret n° 2024-409 du 4 juillet 2024. Il est mis fin à la mise en disponibilité de Monsieur Slim Kammoun, magistrat de troisième grade, à compter du 14 octobre 2024."
justice,"Par décret n° 2024-422 du 10 juillet 2024. Monsieur Farouk Bouaskar, magistrat de deuxième grade, est mis de nouveau en disponibilité, pour une période d’un an à compter du 10 août 2024."
justice,"Arrêté de la ministre de la justice du 11 janvier 2024, portant délégation de signature. La ministre de la justice, Vu la Constitution, Vu la loi n° 82-70 du 6 août 1982, portant statut général des forces de sécurité intérieure, ensemble les textes qui l’ont modifiée ou complétée et notamment le décret-loi n° 2011-69 du 29 juillet 2011,"
justice,"Par décret n° 2024-424 du 10 juillet 2024. Il est mis fin à la mise en disponibilité de Monsieur Mohamed Belgacem, magistrat de deuxième grade, à compter du 1er août 2024."
justice,"Par décret n° 2024-425 du 10 juillet 2024. Il est mis fin au détachement de Monsieur Hamed Mzoughi, magistrat du troisième grade, auprès du ministère de la défense nationale (Président du tribunal militaire permanent de première instance de Tunis) à compter du 15 juillet 2024."
justice,"Par décret n° 2024-426 du 10 juillet 2024. Il est mis fin aux fonctions de Monsieur Makram Jelassi, chargé de mission au cabinet de la ministre de la justice à compter du 10 juillet 2024."
justice,"Par arrêté de la ministre de la justice du 2 juillet 2024. Monsieur Moez Mejri, capitaine des prisons et de rééducation, est chargé des fonctions de chef de service au bureau de la sécurité et de la permanence au ministère de la justice."
justice,"Par arrêté de la ministre de la justice du 9 juillet 2024. Monsieur Moez Kassdaoui, huissier de justice à cité Ezzouhour circonscription de la cour d'appel de Tunis, est révoqué de ses fonctions pour manquement aux devoirs et à l'honneur de la profession, à compter de la date de publication du présent arrêté"
finances,"Arrêté de la ministre des finances du 4 juillet 2024, portant ouverture du concours externe sur épreuves pour le recrutement de sergents des douanes. La ministre des finances, Vu la Constitution, Vu la loi n° 95-46 du 15 mai 1995, fixant le statut général des agents des douanes, ensemble les textes qui l'ont modifié ou complété, notamment la loi organique n° 2013-28 du 30 juillet 2013, Vu le décret n° 96-2311 du 3 décembre 1996, portant statut particulier des agents des services douaniers, ensemble les textes qui l'ont modifié ou complété, notamment le décret n° 2013-1401 du 22 avril 2013, Vu le décret n° 2007-4130 du 18 décembre 2007, définissant les cycles de formation des agents des douanes, tel qu’il a été modifié et complété par le décret n° 2011-3398 du 31 octobre 2011, Vu le décret Présidentiel n° 2021-138 du 11 octobre 2021, portant nomination des membres du Gouvernement, Vu le décret n° 2023-550 du 1er août 2023, portant nomination du Chef du Gouvernement, Vu l’arrêté du ministre des finances du 14 avril 2008, fixant les modalités d’organisation du concours externe sur épreuves pour le recrutement de sergents des douanes. Arrête Article premier - Est ouvert au ministère des finances (direction générale des douanes), le 22 août 2024 et jours suivants, un concours externe sur épreuves pour le recrutement de sergents des douanes. Art. 2 - Le nombre de postes à pourvoir est fixé à deux cent (200) postes. Art. 3 - La date de clôture de la liste des candidatures est fixée au 22 juillet 2024. Art. 4 - Le présent arrêté sera publié au Journal officiel de la République tunisienne. Tunis, le 4 juillet 2024. La ministre des finances Sihem Boughdiri Nemsia Vu Le Chef du Gouvernement Ahmed Hachani"
finances,"Par arrêté de la ministre de l'industrie, des Monsieur Belgacem Maatoug, est nommé administrateur représentant le ministère des finances au conseil d'administration de l'agence foncière industrielle et ce, en remplacement de Madame Fatiha Lamloumi."
